Node ID,New Node ID,Branch,Node Name,Tier #,Parent Nodes,Node Icon,Node Description,Cost,X coordinate,Y coordinate,Z coordinate
AA_0_Aircraft_First_Flight,AA_0_Aircraft_First_Flight,Aircraft,First Flight,0,,RDicon_flight,Initial powered flight and basic aviation.,0,-5000,0,0
AA_1_Aircraft_Expansion,AA_1_Aircraft_Expand_Team,Aircraft,Expand the Design Team,1,AA_0_Aircraft_First_Flight,RDicon_flight,Improved airframes and control surfaces.,1,-4800,0,-1
AA_10_Aircraft_AdvancedSSTO,AA_10_Aircraft_SSTO,Aircraft,SSTO Project,10,"AA_8_Aircraft_Mk2,AA_8_Rocket_Specialized_Rocketry",RDicon_flight,Advanced combined-cycle propulsion for SSTO spaceplanes.,10,-3000,0,-10
AA_2_Aircraft_Design,AA_2_Aircraft_Swept_Wings,Aircraft,Swept Wing Designs,2,AA_1_Aircraft_Expand_Team,RDicon_flight,Refined aircraft layouts and aerodynamics.,2,-4600,0,-2
AA_3_Aircraft_Subsonic_Jets,AA_3_Aircraft_High_Altitude,Aircraft,High Altitude Flight,3,AA_2_Aircraft_Swept_Wings,RDicon_flight,Improved jet engines and intakes for reliable subsonic aircraft.,3,-4400,0,-3
AA_4_Aircraft_Supersonic_Jets,AA_4_Aircraft_Sound_Barrier,Aircraft,Breaking the Sound Barrier,4,AA_3_Aircraft_High_Altitude,RDicon_flight,Afterburning turbofan engines break the sound barrier. The Panther's variable geometry nozzle and afterburner enable supersonic flight.,4,-4200,0,-4
AA_5_Aircraft_High_Altitude_Flight,AA_5_Aircraft_Variable_Intakes,Aircraft,Variable Air Intakes,5,AA_4_Aircraft_Sound_Barrier,RDicon_flight,Specialized intakes for high-altitude operations. Adjustable ramp intakes and diverterless supersonic intakes enable flight at the edge of space.,5,-4000,0,-5
AA_6_Aircraft_Hypersonic_Flight,AA_6_Aircraft_Supersonic_Flight,Aircraft,Supersonic Flight,6,AA_5_Aircraft_Variable_Intakes,RDicon_flight,Advanced turbo ramjet technology for hypersonic speeds. The Whiplash engine and shock cone intakes push the boundaries of air-breathing propulsion.,6,-3800,0,-6
AA_7_Aircraft_Heavy_Lift_Jets,AA_7_Aircraft_Long_Range,Aircraft,High Efficiency Turbojet Aircraft,7,AA_6_Aircraft_Supersonic_Flight,RDicon_flight,Massive turbofan engines for cargo aircraft and heavy spaceplanes. The Goliath is the largest and most powerful jet engine ever built.,7,-3600,0,-7
AA_8_Aircraft_Mk2_Spaceplanes,AA_8_Aircraft_Mk2,Aircraft,The Mk2 Spaceplane Project,8,"AA_7_Aircraft_Long_Range,AA_7_NASA_Shuttle",RDicon_flight,"The Mk2 lifting body fuselage system — high-altitude aircraft and spaceplanes with integrated cargo bays, crew cabins, and hybrid propulsion.",8,-3400,0,-8
AA_2_Communication_Antennas,AA_2_Communication_Kommnet,Communication,The KommNet Protocol,2.5,AA_1_Electrical_Basic_Electronics,RDicon_communication,Basic communication systems.,2.5,-4500,-400,-2.5
AA_4_Communication_DTS_Systems,AA_4_Communication_DTS_Systems,Communication,High Frequency Transmissions,4.5,AA_2_Communication_Kommnet,RDicon_communication,Deployable directional antennas and improved communication systems.,4.5,-4100,-400,-4.5
AA_5_Communication_Relay_Systems,AA_5_Communication_Relay_Systems,Communication,Inter-Satellite Links,5.5,AA_4_Communication_DTS_Systems,RDicon_communication,Relay antennas and network-capable communication upgrades.,5.5,-3900,-400,-5.5
AA_6_Communication_DeepSpace_Systems,AA_6_Communication_DeepSpace_Systems,Communication,Deep Space Systems,6.5,AA_5_Communication_Relay_Systems,RDicon_communication,High power communication systems for deep space operations.,6.5,-3700,-400,-6
AA_7_Communication_Advanced_Relay,AA_7_Communication_VHF_Relay,Communication,VHF Relay Interlinks,7.5,AA_6_Communication_DeepSpace_Systems,RDicon_communication,High performance relay systems for interplanetary networks.,7.5,-3500,-400,-7.5
AA_8_Communication_UltraDeepSpace,AA_8_Communication_UHF_Relay,Communication,UHF Relay Attunements,9,AA_7_Communication_VHF_Relay,RDicon_communication,Ultra long-range relay systems for the farthest missions.,9,-3400,-400,-8
AA_1_Electrical_Basic_Electronics,AA_1_Electrical_Circuit_Theory,Electrical,Circuit Theory,1,AA_0_Aircraft_First_Flight,RDicon_electrics,Core avionics and electrical systems.,1,-4800,-300,-1
AA_2_Electrical_Fixed_Solar_Foundations,AA_2_Electrical_Selenium_Expiriments,Electrical,Selenium Expiriments,2,AA_1_Electrical_Circuit_Theory,RDicon_electrics,Early solar power generation.,2,-4600,-300,-2
AA_3_Electrical_Early_Orbital_Power,AA_3_Electrical_Photovoltaic_Cells,Electrical,Photovoltatic Cells,3,AA_2_Electrical_Selenium_Expiriments,RDicon_electrics,Early orbital power hardware including compact solar arrays and mid-capacity battery banks for satellites and short missions.,3,-4400,-300,-3
AA_4_Electrical_Advanced_Fixed_Generation,AA_4_Electrical_Areospace_Electrical,Electrical,Areospace Electrical Engineering,4,AA_3_Electrical_Photovoltaic_Cells,RDicon_electrics,Higher-output fixed photovoltaic panels and the first fuel cells for dependable power when sunlight is scarce.,4,-4200,-300,-4
AA_5_Electrical_Deployable_Power_Systems,AA_5_Electrical_Flexible_Electronics,Electrical,Deployable Solar Cells,5,AA_4_Electrical_Areospace_Electrical,RDicon_electrics,Deployable photovoltaic arrays and higher-capacity fuel cell systems for sustained spacecraft operations.,5,-4000,-300,-5
AA_6_Electrical_Nuclear_Power_Systems,AA_6_Electrical_Nuclear,Electrical,Nuclear Power Systems,6,AA_5_Electrical_Flexible_Electronics,RDicon_electrics,Nuclear reactors and power.,6,-3800,-300,-6
AA_4_Probe_Basic_Probe_Cores,AA_4_Probe_Basic,Probe,Early Guidance Computer,4,AA_3_Electrical_Photovoltaic_Cells,RDicon_unmannedTech,The OKTO probe core provides automatic stabilization assistance. A capable unmanned controller for early satellites and probes.,4,-4200,-200,-4
AA_6_Probe_Advanced_Probe_Cores,AA_6_Probe_Intermediate,Probe,Enhanced Autopilot Systems,6.5,AA_4_Probe_Basic,RDicon_unmannedTech,The HECS probe core features advanced guidance technology with integrated reaction wheels and improved batteries. Ideal for more demanding missions.,6.5,-3700,-200,-6.5
AA_7_Probe_Large_Probe_Cores,AA_7_Probe_Advanced,Probe,Purpose-Built Probe Designs,7.5,AA_6_Probe_Intermediate,RDicon_unmannedTech,The HECS2 is a larger probe core with integrated battery banks and built-in reaction wheel. Suitable for more advanced satellites and deep space probes.,7.5,-3500,-200,-7.5
AA_9_Probe_Remote_Guidance_Systems,AA_9_Probe_Autonomous,Probe,Artificial Intellegence Assisted Navigation,9,AA_7_Probe_Advanced,RDicon_unmannedTech,"The RC Remote Guidance Units are the most complete command units available, featuring all the latest guidance systems plus internal reaction wheels. The closest to a fully self-contained spacecraft.",9,-3200,-200,-9
