mod_folder,name,title,manufacturer,description,TechRequired,AA_Tech,category,size_class,size_m,size_source,is_hidden,hidden_reason
ReStockPlus,restock-claw-625-1,Compact Grabbing Unit Jr.,STEADLER Engineering Corps,"A smaller claw for grappling smaller things. Unfortunately, it does not pivot.",AA_T99_Parking,NYI,none,Radial,,attachRules/bulkheadProfiles,True,category=none
Squad,GrapplingDevice,Advanced Grabbing Unit,Kerbal Motion LLC,"Kerbal Motion engineers have long struggled with the problem of how to extract dropped tools from complicated machinery. After observing an intern cleaning out his shoes by turning them upside and shaking them inside the lab, our team was hit with a stroke of inspiration! Why not turn the rocket parts upside down and shake them? The grabbing arm perfectly filled this niche, and is quite capable of lifting heavy machinery. It has since found other uses, besides delicate tool extraction operations. AKA ""The Klaw!""",AA_9_Rocket_ExperimentalSystems,AA_9_Rocket_ExperimentalSystems,Coupling,Radial,,attachRules/bulkheadProfiles,False,
Squad,smallClaw,Advanced Grabbing Unit Jr.,Kerbal Motion LLC,"Usually, when you want to improve a part, the first thing any self-respecting Kerbal engineer thinks about is making it bigger and adding more power. Rarely, that's not the ideal solution. Thus was born the AGU jr. Instead of making a bigger claw, Kerbal Motion has designed a smaller one, when you need a small helping hand to latch onto something in those hard to reach places.",AA_9_Rocket_ExperimentalSystems,AA_9_Rocket_ExperimentalSystems,Coupling,Radial,,attachRules/bulkheadProfiles,False,
Squad,GrapplingDevice,Advanced Grabbing Unit,Kerbal Motion LLC,"Kerbal Motion engineers have long struggled with the problem of how to extract dropped tools from complicated machinery. After observing an intern cleaning out his shoes by turning them upside and shaking them inside the lab, our team was hit with a stroke of inspiration! Why not turn the rocket parts upside down and shake them? The grabbing arm perfectly filled this niche, and is quite capable of lifting heavy machinery. It has since found other uses, besides delicate tool extraction operations. AKA ""The Klaw!""",AA_9_Rocket_ExperimentalSystems,AA_9_Rocket_ExperimentalSystems,Coupling,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,hinge_01,G-11 Hinge,Moving Parts Experts Group,A medium size actuator that has a variety of uses. Be creative!,AA_T99_Parking,NYI,Robotics,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,hinge_03,G-12L Alligator Hinge,Moving Parts Experts Group,A medium actuator. Moving Parts Experts Group offers no warranty if you jury rig your own landing legs with them. Our engineers were curious what a warranty is for anyway.,AA_T99_Parking,NYI,Robotics,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,hinge_04,G-32W Hinge,Moving Parts Experts Group,The largest hinge actuator available. Doubles as an EZ-fold picnic table.,AA_T99_Parking,NYI,Robotics,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,piston_03,3PT Telescoping Hydraulic Cylinder,Moving Parts Experts Group,"A large telescoping piston. Capable of enormous feats of stretchiness. Rocket engines are still recommended for attempting to reach orbit, however.",AA_T99_Parking,NYI,Robotics,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,piston_04,1P4 Telescoping Hydraulic Cylinder,Moving Parts Experts Group,A small telescoping piston. Eye protection is mandatory when working with this part.,AA_T99_Parking,NYI,Robotics,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,rotoServo_02,Rotation Servo F-12,Kerbal Motion LLC,"The flush mounted rotation servo has reduced output but a much sleeker form factor, hiding all the motor bits inside the servo head itself, reducing the space it requires.",AA_T99_Parking,NYI,Robotics,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,rotoServo_03,Rotation Servo M-12,Kerbal Motion LLC,"A medium, high-torque servo that can rotate attached parts through 360 degrees. Makes sure any evil robots you construct with it can see behind themselves.",AA_T99_Parking,NYI,Robotics,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,rotoServo_04,Rotation Servo M-25,Kerbal Motion LLC,"A large, high-torque servo that can rotate attached parts through 360 degrees. When you just don't have enough torque for whatever nefarious prupose you have in mind, this is what you use.",AA_T99_Parking,NYI,Robotics,Radial,,attachRules/bulkheadProfiles,False,
StationPartsExpansionRedux,sspx-extendable-tube-125-1,B-EX-1 Extensible Crew Tube,Kerbalmax Industries,A specialized crew tube with the ability to extend and attach to almost any part with powerful grappling connectors. Warranty does not cover punctured fuel tanks or similar.,AA_T99_Parking,NYI,Coupling,Radial,,attachRules/bulkheadProfiles,False,
StationPartsExpansionRedux,sspx-extendable-tube-25-1,B-EX-2 Extensible Crew Tube,Kerbalmax Industries,"A larger, more comfortable extensible tube with the same warranty precautions as its larger brother.",AA_T99_Parking,NYI,Coupling,Radial,,attachRules/bulkheadProfiles,False,
Squad,airbrake1,A.I.R.B.R.A.K.E.S,C7 Aerospace Division,"Research into feasible ways to slow down a plane in mid-air showed that loose hull panels are pretty great as drag-inducing deceleration devices. The discovery led to the invention of the Aerodynamically Integrated Retrograde Braking Robustly Armed Kinetic Extending System (A.I.R.B.R.A.K.E.S.), which is now popular mostly as a cheap alternative to longer runways. C7 Engineers are still trying to come up with a shorter name for such a long acronym.",AA_5_Aircraft_High_Altitude_Flight,AA_5_Aircraft_High_Altitude_Flight,Aero,Radial,,attachRules/bulkheadProfiles,False,
Squad,CanardController,Standard Canard,C7 Aerospace Division,"Our engineers had a stroke of inspiration after ""visiting"" the Kerlington production facilities. Introducing our new controllable canards. Warning, hard maneuvering may cause unintended stage separation.",AA_3_Aircraft_Subsonic_Jets,AA_3_Aircraft_Subsonic_Jets,Aero,Radial,,attachRules/bulkheadProfiles,False,
Squad,wingConnector4,Wing Connector Type D,C7 Aerospace Division,Found in a trash bin next to a wing factory.,AA_2_Aircraft_Design,AA_2_Aircraft_Design,Aero,Radial,,attachRules/bulkheadProfiles,False,
Squad,deltaWing,Delta Wing,C7 Aerospace Division,Standard Delta configuration wings. These wings provide high lift and a stable center of gravity for your everyday lifting needs.,AA_3_Aircraft_Subsonic_Jets,AA_3_Aircraft_Subsonic_Jets,Aero,Radial,,attachRules/bulkheadProfiles,False,
Squad,delta_small,Small Delta Wing,C7 Aerospace Division,"This small delta wing has breezed through extensive stress tests and design revisions, mostly because it wasn't involved in any of those. In any case, it should work as a comparatively reliable lifting surface.",AA_2_Aircraft_Design,AA_2_Aircraft_Design,Aero,Radial,,attachRules/bulkheadProfiles,False,
Squad,elevon2,Elevon 2,C7 Aerospace Division,"Made from the finest materials at hand, these flight surfaces are guaranteed to operate while attached to the craft. However studies have shown that a lack of atmosphere *may* slightly impede function. No refunds.",AA_2_Aircraft_Design,AA_2_Aircraft_Design,Aero,Radial,,attachRules/bulkheadProfiles,False,
Squad,elevon3,Elevon 3,C7 Aerospace Division,"Made from the finest materials at hand, these flight surfaces are guaranteed to operate while attached to the craft. However studies have shown that a lack of atmosphere *may* slightly impede function. No refunds.",AA_2_Aircraft_Design,AA_2_Aircraft_Design,Aero,Radial,,attachRules/bulkheadProfiles,False,
Squad,smallCtrlSrf,Elevon 4,C7 Aerospace Division,"Feel the need to attach an elevator, rudder or aileron to just about any surface you can get your mitts on? Well this small elevon is for you. Made of mostly new factory parts, it will fit just about anywhere. Just don't expect a huge performance out of such a small part.",AA_3_Aircraft_Subsonic_Jets,AA_3_Aircraft_Subsonic_Jets,Aero,Radial,,attachRules/bulkheadProfiles,False,
Squad,elevon5,Elevon 5,C7 Aerospace Division,"Just another one of these elevon things... wait, this one is swept! Wow!",AA_3_Aircraft_Subsonic_Jets,AA_3_Aircraft_Subsonic_Jets,Aero,Radial,,attachRules/bulkheadProfiles,False,
Squad,structuralWing4,Structural Wing Type D,C7 Aerospace Division,"This wing has been constructed out of surplus wing components. Comes complete with ""like new"" finish.",AA_0_Aircraft_First_Flight,AA_0_Aircraft_First_Flight,Aero,Radial,,attachRules/bulkheadProfiles,False,
Squad,sweptWing1,Swept Wing Type A,C7 Aerospace Division,"This wing has been constructed out of surplus wing components. Comes complete with ""like new"" finish.",AA_3_Aircraft_Subsonic_Jets,AA_3_Aircraft_Subsonic_Jets,Aero,Radial,,attachRules/bulkheadProfiles,False,
Squad,smallHardpoint,Small Hardpoint,C7 Aerospace Division,"A structural Pylon for engine Support. Designed to fit against fuselages, and hull bodies. This is the small variant, mostly for use with the smaller engines. Comes Equipped with emergency bolts to separate jet engines in the event of fire or catastrophic failure. (Not covered by warranty)",AA_3_Aircraft_Subsonic_Jets,AA_3_Aircraft_Subsonic_Jets,Structural,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,FanShroud_02,S-12 Fan Shroud,WinterOwl Aircraft Emporium,This aesthetically pleasing shroud is for a medium ducted fan engine.\n\nHelps reduce the incidence of air crew incidents with them by over 5%!,AA_T99_Parking,NYI,Aero,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,FanShroud_03,S-25 Fan Shroud,WinterOwl Aircraft Emporium,This aesthetically pleasing shroud fits a large ducted fan blade.\n\nHelps reduce the incidence of air crew incidents with them by over 5%!,AA_T99_Parking,NYI,Aero,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,largeFanBlade,R-25 Ducted Fan Blade,WinterOwl Aircraft Emporium,This large ducted fan propeller can push a lot of air through a small space.,AA_T99_Parking,NYI,Aero,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,largeHeliBlade,Helicopter Blade Type S,WinterOwl Aircraft Emporium,Rockets aren't the only way to go up. This large helicopter-style rotor can create lift whenever there's enough atmospheric pressure.,AA_T99_Parking,NYI,Aero,Radial,,attachRules/bulkheadProfiles,False,
SquadExpansion,largePropeller,Propeller Blade Type S,WinterOwl Aircraft Emporium,This blade part can be used to convert lift into thrust if you spin it fast enough. The advanced user can even find this useful on other planets with an atmosphere.,AA_T99_Parking,NYI,Aero,Radial,,attachRules/bulkheadProfiles,False,
