Node ID,New Node ID,Branch,Node Name,Tier #,Parent Nodes,Node Icon,Node Description,Cost,X coordinate,Y coordinate,Z coordinate
AA_0_Aircraft_First_Flight,,Aircraft,First Flight,0,,RDicon_flight,Initial powered flight and basic aviation.,5.0,-2600.0,600.0,0.0
AA_1_Aircraft_Expansion,,Aircraft,Aircraft Expansion,1,AA_0_Aircraft_First_Flight,RDicon_flight,Improved airframes and control surfaces.,15.0,-2400.0,600.0,0.0
AA_1_Structural_Industrial_Components,,Structural/Industrial,Industrial Components,1,AA_0_Aircraft_First_Flight,RDicon_structural,Foundational structural and industrial parts.,15.0,-2400.0,300.0,0.0
AA_1_Electrical_Basic_Electronics,,Electronics,Basic Electronics,1,AA_0_Aircraft_First_Flight,RDicon_electrics,Core avionics and electrical systems.,15.0,-2400.0,0.0,0.0
AA_1_Science_Basic,,Science,Basic Science,1,AA_0_Aircraft_First_Flight,RDicon_science,Fundamental scientific instruments.,15.0,-2400.0,-300.0,0.0
AA_1_Electrical_Radar_Technology,,Electronics,Radar Technology,1,AA_0_Aircraft_First_Flight,RDicon_electrics,Early radar and sensing systems.,15.0,-2400.0,-600.0,0.0
AA_2_Aircraft_Design,,Aircraft,Aircraft Design,2,AA_1_Aircraft_Expansion,RDicon_flight,Refined aircraft layouts and aerodynamics.,45.0,-2200.0,600.0,0.0
AA_2_Structural_Engineering,,Structural/Industrial,Structural Engineering,2,AA_1_Structural_Industrial_Components,RDicon_structural,Advanced structural techniques.,45.0,-2200.0,300.0,0.0
AA_2_Electrical_Fixed_Solar_Foundations,,Electronics,Fixed Solar Foundations,2,AA_1_Electrical_Basic_Electronics,RDicon_electrics,Early solar power generation.,45.0,-2200.0,0.0,0.0
AA_2_Communication_Antennas,,Communication,Antennas,2,AA_1_Electrical_Basic_Electronics,RDicon_communication,Basic communication systems.,45.0,-2200.0,-150.0,0.0
AA_2_Science_Instrumentation,,Science,Scientific Instrumentation,2,AA_1_Science_Basic,RDicon_science,Improved sensors and experiments.,45.0,-2200.0,-300.0,0.0
AA_2_Rover_Mobility,,Rover,Rover Mobility,2,AA_1_Structural_Industrial_Components,RDicon_rover,Rover wheels and basic mobility.,45.0,-2200.0,-450.0,0.0
AA_2_Rocket_Early_Rocketry,,Rocket_Archer,Early Rocketry,2,AA_1_Structural_Industrial_Components,RDicon_rocketry,First liquid-fueled rockets.,45.0,-2200.0,-600.0,0.0
AA_3_Aircraft_Systems,,Aircraft,Aircraft Systems,3,AA_2_Aircraft_Design,RDicon_flight,Integrated aircraft subsystems.,90.0,-2000.0,600.0,0.0
AA_3_Structural_Advanced_Construction,,Structural/Industrial,Advanced Construction,3,AA_2_Structural_Engineering,RDicon_structural,Pressurized and reinforced structures.,90.0,-2000.0,300.0,0.0
AA_3_Electrical_Power_Distribution,,Electronics,Power Distribution,3,AA_2_Electrical_Fixed_Solar_Foundations,RDicon_electrics,Power routing and regulation.,90.0,-2000.0,0.0,0.0
AA_3_Communication_Relay_Networks,,Communication,Relay Networks,3,AA_2_Communication_Antennas,RDicon_communication,Early relay satellites.,90.0,-2000.0,-150.0,0.0
AA_3_Science_Atmospheric_Research,,Science,Atmospheric Research,3,AA_2_Science_Instrumentation,RDicon_science,Upper-atmosphere science.,90.0,-2000.0,-300.0,0.0
AA_3_Rover_FieldOps,,Rover,Field Operations,3,AA_2_Rover_Mobility,RDicon_rover,Surface operations and tools.,90.0,-2000.0,-450.0,0.0
AA_3_Rocket_Orbital_Rocketry,,Rocket_Archer,Orbital Rocketry,3,AA_2_Rocket_Early_Rocketry,RDicon_rocketry,Achieving stable orbit.,90.0,-2000.0,-600.0,0.0
AA_4_NASA_Mercury,,Rocket_NASA,Mercury Program,4,AA_2_Rocket_Sounding_Rockets,,,,,,
AA_4_Aircraft_Performance,,Aircraft,Aircraft Performance,4,AA_3_Aircraft_Systems,RDicon_flight,High-performance flight regimes.,160.0,-1800.0,600.0,0.0
AA_4_Structural_Pressurized_Structures,,Structural/Industrial,Pressurized Structures,4,AA_3_Structural_Advanced_Construction,RDicon_structural,Habitable and sealed modules.,160.0,-1800.0,300.0,0.0
AA_4_Electrical_Energy_Storage,,Electronics,Energy Storage,4,AA_3_Electrical_Power_Distribution,RDicon_electrics,Batteries and storage systems.,160.0,-1800.0,0.0,0.0
AA_4_Communication_Deep_Space_Comms,,Communication,Deep Space Comms,4,AA_3_Communication_Relay_Networks,RDicon_communication,Long-range communication.,160.0,-1800.0,-150.0,0.0
AA_4_Science_Planetary_Research,,Science,Planetary Research,4,AA_3_Science_Atmospheric_Research,RDicon_science,Surface and orbital planetary science.,160.0,-1800.0,-300.0,0.0
AA_4_Rover_Exploration_Systems,,Rover,Exploration Systems,4,AA_3_Rover_FieldOps,RDicon_rover,Extended rover missions.,160.0,-1800.0,-450.0,0.0
AA_4_Rocket_Advanced_Engines,,Rocket_Archer,Advanced Engines,4,AA_3_Rocket_Orbital_Rocketry,RDicon_rocketry,More efficient rocket engines.,160.0,-1800.0,-600.0,0.0
AA_5_Aircraft_High_Performance,,Aircraft,High Performance Aircraft,5,AA_4_Aircraft_Performance,RDicon_flight,Advanced aircraft designs.,300.0,-1600.0,600.0,0.0
AA_5_Structural_Modular_Structures,,Structural/Industrial,Modular Structures,5,AA_4_Structural_Pressurized_Structures,RDicon_structural,Modular station components.,300.0,-1600.0,300.0,0.0
AA_5_Electrical_Advanced_Power,,Electronics,Advanced Power,5,AA_4_Electrical_Energy_Storage,RDicon_electrics,High-output power systems.,300.0,-1600.0,0.0,0.0
AA_5_Communication_High_Gain_Systems,,Communication,High Gain Systems,5,AA_4_Communication_Deep_Space_Comms,RDicon_communication,High-gain antennas.,300.0,-1600.0,-150.0,0.0
AA_5_Science_Orbital_Research,,Science,Orbital Research,5,AA_4_Science_Planetary_Research,RDicon_science,Advanced orbital experiments.,300.0,-1600.0,-300.0,0.0
AA_5_Rover_Surface_Operations,,Rover,Surface Operations,5,AA_4_Rover_Exploration_Systems,RDicon_rover,Sustained surface missions.,300.0,-1600.0,-450.0,0.0
AA_5_Rocket_Advanced_Rocketry,,Rocket_Archer,Advanced Rocketry,5,AA_4_Rocket_Advanced_Engines,RDicon_rocketry,Heavy-lift launch systems.,300.0,-1600.0,-600.0,0.0
AA_6_Aircraft_Supersonic_Flight,,Aircraft,Supersonic Flight,6,AA_5_Aircraft_High_Performance,RDicon_flight,Supersonic and high-altitude flight.,550.0,-1400.0,600.0,0.0
AA_6_Structural_Heavy_Construction,,Structural/Industrial,Heavy Construction,6,AA_5_Structural_Modular_Structures,RDicon_structural,Large-scale structural assemblies.,550.0,-1400.0,300.0,0.0
AA_6_Electrical_Nuclear_Power_Systems,,Electronics,Nuclear Power Systems,6,AA_5_Electrical_Advanced_Power,RDicon_electrics,Nuclear reactors and power.,550.0,-1400.0,0.0,0.0
AA_6_Communication_Interplanetary_Comms,,Communication,Interplanetary Comms,6,AA_5_Communication_High_Gain_Systems,RDicon_communication,Interplanetary communication.,550.0,-1400.0,-150.0,0.0
AA_6_Science_Deep_Space_Research,,Science,Deep Space Research,6,AA_5_Science_Orbital_Research,RDicon_science,Interplanetary science.,550.0,-1400.0,-300.0,0.0
AA_6_Rover_RuggedSystems,,Rover,Rugged Systems,6,AA_5_Rover_Surface_Operations,RDicon_rover,Heavy-duty rover equipment.,550.0,-1400.0,-450.0,0.0
AA_6_Rocket_Heavy_Rocketry,,Rocket_Archer,Heavy Rocketry,6,AA_5_Rocket_Advanced_Rocketry,RDicon_rocketry,Very large launch vehicles.,550.0,-1400.0,-600.0,0.0
AA_6_Soviet_Salyut_Mir,,Rocket_Soviet,Salyut / Mir,6,AA_5_Rocket_Advanced_Rocketry,RDicon_station,Early long-duration stations.,550.0,-1400.0,-750.0,0.0
AA_7_Aircraft_Hypersonic_Systems,,Aircraft,Hypersonic Systems,7,AA_6_Aircraft_Supersonic_Flight,RDicon_flight,Hypersonic flight technology.,800.0,-1200.0,600.0,0.0
AA_7_Structural_Orbital_Assembly,,Structural/Industrial,Orbital Assembly,7,AA_6_Structural_Heavy_Construction,RDicon_structural,In-orbit construction.,800.0,-1200.0,300.0,0.0
