mod_folder,name,title,manufacturer,description,TechRequired,category,size_class,size_m,size_source,is_hidden,hidden_reason
ReStockPlus,restock-claw-625-1,Compact Grabbing Unit Jr.,STEADLER Engineering Corps,"A smaller claw for grappling smaller things. Unfortunately, it does not pivot.",actuators,none,Radial,,attachRules/bulkheadProfiles,TRUE,category=none
Squad,GrapplingDevice,Advanced Grabbing Unit,Kerbal Motion LLC,"Kerbal Motion engineers have long struggled with the problem of how to extract dropped tools from complicated machinery. After observing an intern cleaning out his shoes by turning them upside and shaking them inside the lab, our team was hit with a stroke of inspiration! Why not turn the rocket parts upside down and shake them? The grabbing arm perfectly filled this niche, and is quite capable of lifting heavy machinery. It has since found other uses, besides delicate tool extraction operations. AKA ""The Klaw!""",actuators,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,smallClaw,Advanced Grabbing Unit Jr.,Kerbal Motion LLC,"Usually, when you want to improve a part, the first thing any self-respecting Kerbal engineer thinks about is making it bigger and adding more power. Rarely, that's not the ideal solution. Thus was born the AGU jr. Instead of making a bigger claw, Kerbal Motion has designed a smaller one, when you need a small helping hand to latch onto something in those hard to reach places.",actuators,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,GrapplingDevice,Advanced Grabbing Unit,Kerbal Motion LLC,"Kerbal Motion engineers have long struggled with the problem of how to extract dropped tools from complicated machinery. After observing an intern cleaning out his shoes by turning them upside and shaking them inside the lab, our team was hit with a stroke of inspiration! Why not turn the rocket parts upside down and shake them? The grabbing arm perfectly filled this niche, and is quite capable of lifting heavy machinery. It has since found other uses, besides delicate tool extraction operations. AKA ""The Klaw!""",actuators,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,hinge_01,G-11 Hinge,Moving Parts Experts Group,A medium size actuator that has a variety of uses. Be creative!,actuators,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,hinge_03,G-12L Alligator Hinge,Moving Parts Experts Group,A medium actuator. Moving Parts Experts Group offers no warranty if you jury rig your own landing legs with them. Our engineers were curious what a warranty is for anyway.,actuators,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,hinge_04,G-32W Hinge,Moving Parts Experts Group,The largest hinge actuator available. Doubles as an EZ-fold picnic table.,actuators,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,piston_03,3PT Telescoping Hydraulic Cylinder,Moving Parts Experts Group,"A large telescoping piston. Capable of enormous feats of stretchiness. Rocket engines are still recommended for attempting to reach orbit, however.",actuators,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,piston_04,1P4 Telescoping Hydraulic Cylinder,Moving Parts Experts Group,A small telescoping piston. Eye protection is mandatory when working with this part.,actuators,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,rotoServo_02,Rotation Servo F-12,Kerbal Motion LLC,"The flush mounted rotation servo has reduced output but a much sleeker form factor, hiding all the motor bits inside the servo head itself, reducing the space it requires.",actuators,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,rotoServo_03,Rotation Servo M-12,Kerbal Motion LLC,"A medium, high-torque servo that can rotate attached parts through 360 degrees. Makes sure any evil robots you construct with it can see behind themselves.",actuators,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
SquadExpansion,rotoServo_04,Rotation Servo M-25,Kerbal Motion LLC,"A large, high-torque servo that can rotate attached parts through 360 degrees. When you just don't have enough torque for whatever nefarious prupose you have in mind, this is what you use.",actuators,Robotics,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-extendable-tube-125-1,B-EX-1 Extensible Crew Tube,Kerbalmax Industries,A specialized crew tube with the ability to extend and attach to almost any part with powerful grappling connectors. Warranty does not cover punctured fuel tanks or similar.,actuators,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
StationPartsExpansionRedux,sspx-extendable-tube-25-1,B-EX-2 Extensible Crew Tube,Kerbalmax Industries,"A larger, more comfortable extensible tube with the same warranty precautions as its larger brother.",actuators,Coupling,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,airbrake1,A.I.R.B.R.A.K.E.S,C7 Aerospace Division,"Research into feasible ways to slow down a plane in mid-air showed that loose hull panels are pretty great as drag-inducing deceleration devices. The discovery led to the invention of the Aerodynamically Integrated Retrograde Braking Robustly Armed Kinetic Extending System (A.I.R.B.R.A.K.E.S.), which is now popular mostly as a cheap alternative to longer runways. C7 Engineers are still trying to come up with a shorter name for such a long acronym.",advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,CanardController,Standard Canard,C7 Aerospace Division,"Our engineers had a stroke of inspiration after ""visiting"" the Kerlington production facilities. Introducing our new controllable canards. Warning, hard maneuvering may cause unintended stage separation.",advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,wingConnector4,Wing Connector Type D,C7 Aerospace Division,Found in a trash bin next to a wing factory.,advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,deltaWing,Delta Wing,C7 Aerospace Division,Standard Delta configuration wings. These wings provide high lift and a stable center of gravity for your everyday lifting needs.,advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
Squad,delta_small,Small Delta Wing,C7 Aerospace Division,"This small delta wing has breezed through extensive stress tests and design revisions, mostly because it wasn't involved in any of those. In any case, it should work as a comparatively reliable lifting surface.",advAerodynamics,Aero,Radial,,attachRules/bulkheadProfiles,FALSE,
